iter	MAPE	RMSE
0	0.05162036458	0.8833846424
1	0.04673501588	0.805385987
2	0.04248457374	0.7373499684
3	0.03862683855	0.6751962986
4	0.03548978764	0.6239798825
5	0.03265524684	0.5788161062
6	0.03029001133	0.5415196462
7	0.02820032525	0.5086415238
8	0.02634167143	0.4795207207
9	0.02471899675	0.4538731194
10	0.02329892635	0.4315837171
11	0.02207561659	0.4123243186
12	0.02120604354	0.3967893829
13	0.02045121397	0.3831022839
14	0.01966076799	0.3704156353
15	0.01916554728	0.360680058
16	0.0186441498	0.3518142837
17	0.01818121561	0.3442374293
18	0.01765450543	0.3356583583
19	0.01738829528	0.3299020707
20	0.01714549366	0.3245227566
21	0.01689369615	0.3199703705
22	0.01660865798	0.3155042458
23	0.01630830262	0.3100166748
24	0.01614204503	0.3066299292
25	0.01601169949	0.3038953797
26	0.01582727668	0.3004769133
27	0.01572404701	0.2982098152
28	0.01561865971	0.2957578876
29	0.01537627748	0.2921439362
30	0.01527798525	0.2899207651
31	0.01517288375	0.2879351035
32	0.0150554976	0.2860203962
33	0.01497230002	0.2841341245
34	0.01490677665	0.2826466752
35	0.0148286426	0.2811669391
36	0.01477755069	0.2799038735
37	0.01473059655	0.278977883
38	0.01460376833	0.2771005379
39	0.0144834453	0.274734022
40	0.01444817952	0.2737638323
41	0.01438469905	0.2724861377
42	0.01435674879	0.2718189502
43	0.01432108572	0.2709237844
44	0.01427146205	0.2700450846
45	0.01421822574	0.2691585823
46	0.01418861492	0.2684722248
47	0.01414275821	0.2675825323
48	0.01411362916	0.2670245085
49	0.01407680045	0.2665025285
50	0.01405326731	0.266049907
51	0.01403137812	0.265605007
52	0.01400707016	0.2649649257
53	0.0139931224	0.2644793099
54	0.01397189278	0.2640569177
55	0.01392668335	0.2632599433
56	0.01388489098	0.2626148499
57	0.01386455388	0.2622372615
58	0.01384245049	0.261750712
59	0.0137920908	0.2609272709
60	0.01377745733	0.26056642
61	0.01374733321	0.2598809778
62	0.01369425734	0.2591379625
63	0.01366750409	0.2584875866
64	0.01361557902	0.257698825
65	0.01359365469	0.2571740362
66	0.01358441422	0.2569549076
67	0.01355667723	0.256463285
68	0.0135126272	0.2558262268
69	0.01349589711	0.2555075391
70	0.0134785394	0.2550887405
71	0.0134559216	0.254712947
72	0.01343759055	0.2543335629
73	0.01341748618	0.2540558272
74	0.01340998143	0.2538601699
75	0.01338163274	0.2533446545
76	0.01335045875	0.2528642007
77	0.01332902904	0.2524194469
78	0.013311622	0.2521217788
79	0.01326566364	0.2514487614
80	0.01325371903	0.2511964699
81	0.01323610605	0.2507935531
82	0.01322529868	0.2504924992
83	0.01319776865	0.2500222362
84	0.01318194265	0.2496373309
85	0.01316939136	0.249369288
86	0.01312839668	0.2487863334
87	0.01312104066	0.2485619325
88	0.01310116979	0.2482734255
89	0.01309130691	0.2480309609
90	0.0130774882	0.2478010653
91	0.0130523662	0.2473366545
92	0.0130324879	0.2468744402
93	0.01300720635	0.2464844106
94	0.01296720247	0.2458474635
95	0.01294188879	0.2454035073
96	0.01291637299	0.2449673077
97	0.01290514527	0.2446328057
98	0.01286008635	0.2440445957
99	0.01283785154	0.2436191432
100	0.01282399542	0.2432748018
101	0.0127949024	0.2426679229
102	0.01278778304	0.2424850028
103	0.01277901923	0.2422806145
104	0.01276073752	0.2419111134
105	0.01273493551	0.2415259387
106	0.01272054328	0.2412998264
107	0.01269853523	0.2408752436
108	0.01268832632	0.2406271314
109	0.01267875976	0.2403742213
110	0.0126691733	0.2401609208
111	0.01264165107	0.2397661398
112	0.01262119817	0.2395196774
113	0.01261081495	0.2392759484
114	0.01258729211	0.2389789173
115	0.01256749954	0.2385473868
116	0.01255445088	0.2382838468
117	0.01254444467	0.2380927029
118	0.01251335721	0.2376582502
119	0.01249642978	0.2373374
120	0.01249123266	0.2372273963
121	0.01248162765	0.2370191161
122	0.01246745704	0.23673957
123	0.01243741968	0.23633987
124	0.01243138412	0.2361267846
125	0.01242282664	0.2359428474
126	0.01240727668	0.2356692641
127	0.01238469302	0.235296396
128	0.01238018605	0.2351497041
129	0.01236343919	0.2348943445
130	0.01235621851	0.2347402994
131	0.01233761992	0.2344797502
132	0.01232636262	0.234271891
133	0.01231879168	0.2340543016
134	0.01230611619	0.2338443803
135	0.01229857905	0.2336672677
136	0.01228528397	0.2334393429
137	0.01227777429	0.233271405
138	0.01227105337	0.2330844593
139	0.01226371868	0.2329112581
140	0.01224330284	0.2324819642
141	0.01222496618	0.2322031596
142	0.01221656907	0.2320545627
143	0.01220697182	0.2317752286
144	0.01219145213	0.2314686355
145	0.01218046158	0.2312650131
146	0.01217091031	0.2310841549
147	0.01216040803	0.230902511
148	0.01214736737	0.2307051571
149	0.01213383019	0.2305388836
150	0.01212692441	0.2304187282
151	0.01211559647	0.2301716559
152	0.01210265396	0.2299551645
153	0.0120975986	0.2297915186
154	0.01209186644	0.2296537204
155	0.01208429371	0.2295053816
156	0.01207918504	0.2293788894
157	0.01206895002	0.2291616693
158	0.01206165893	0.2289324847
159	0.01204344903	0.2286785678
160	0.01203523464	0.2285345442
161	0.01202867863	0.2283821313
162	0.01201750622	0.2282279807
163	0.01199693334	0.2279091916
164	0.01197910489	0.2276217215
165	0.01196796247	0.2274685724
166	0.01196505638	0.2273513492
167	0.01195182564	0.2271567873
168	0.01194680483	0.2269656239
169	0.01194117194	0.226806908
170	0.01192937987	0.226649645
171	0.01192687154	0.2265720658
172	0.01191697906	0.2264026743
173	0.01191163505	0.2262545516
174	0.01190619963	0.2261160679
175	0.01189249475	0.2259044221
176	0.01188365416	0.2257410494
177	0.01187492874	0.2255964797
178	0.01186144699	0.2254231447
179	0.01184959005	0.2251655618
180	0.01184171089	0.2250040233
181	0.01183509573	0.2248813394
182	0.01182949284	0.224718759
183	0.0118243504	0.22461035
184	0.01182111837	0.2244923058
185	0.01181659776	0.224356374
186	0.01180737347	0.2242406401
187	0.01179699904	0.2238920507
188	0.01178907417	0.2236945143
189	0.01178362024	0.2236056139
190	0.01177925362	0.2234696514
191	0.01177652089	0.2233615832
192	0.01176478573	0.223223757
193	0.01175493447	0.2230445395
194	0.01174816757	0.2229293984
195	0.01173717271	0.2227701428
196	0.01172698377	0.2226067123
197	0.01171818506	0.2223234462
198	0.01171094432	0.222200274
199	0.01170605074	0.2220555426
200	0.01169884412	0.2219344819
201	0.0116935605	0.2217403856
202	0.01168924969	0.2216307691
203	0.0116749077	0.2214658685
204	0.01167189707	0.2213693805
205	0.01166529574	0.2212030053
206	0.01165420507	0.2210031011
207	0.01165225405	0.2208791139
208	0.01164668613	0.2207608051
209	0.01164278318	0.2206499653
210	0.01163671323	0.2204944293
211	0.0116262733	0.220292603
212	0.01160833132	0.2200436154
213	0.01159668763	0.2198770772
214	0.01159293251	0.2198100502
215	0.01158293064	0.2196916101
216	0.01157603306	0.2195891779
217	0.01156115438	0.2193843477
218	0.01155398816	0.2192867917
219	0.01154664716	0.2191867384
220	0.01153535055	0.218992891
