iter	Passed	Remaining
412	3035	26363
413	3041	26344
414	3047	26324
415	3052	26302
416	3058	26280
417	3064	26261
418	3070	26240
419	3076	26221
420	3081	26193
421	3087	26176
422	3093	26161
423	3099	26137
424	3104	26113
425	3109	26089
426	3115	26070
427	3121	26054
428	3127	26036
429	3133	26014
430	3139	25993
431	3146	25983
432	3152	25973
433	3158	25953
434	3168	25971
435	3175	25955
436	3180	25934
437	3186	25917
438	3193	25904
439	3199	25882
440	3205	25865
441	3211	25850
442	3217	25833
443	3223	25813
444	3229	25796
445	3234	25772
446	3240	25753
447	3246	25739
448	3252	25719
449	3257	25694
450	3263	25679
451	3268	25654
452	3274	25635
453	3280	25621
454	3286	25602
455	3291	25584
456	3297	25565
457	3303	25547
458	3309	25534
459	3315	25513
460	3320	25494
461	3326	25476
462	3332	25460
463	3339	25450
464	3346	25441
465	3353	25430
466	3360	25425
467	3368	25419
468	3374	25404
469	3381	25397
470	3389	25393
471	3398	25399
472	3405	25396
473	3411	25379
474	3418	25367
475	3424	25355
476	3432	25348
477	3437	25330
478	3442	25307
479	3449	25292
480	3454	25272
481	3459	25251
482	3467	25248
483	3473	25230
484	3478	25211
485	3484	25194
486	3490	25180
487	3496	25161
488	3502	25145
489	3507	25128
490	3513	25108
491	3518	25085
492	3523	25065
493	3529	25048
494	3535	25035
495	3541	25017
496	3547	25001
497	3553	24988
498	3558	24969
499	3564	24950
500	3570	24935
501	3576	24922
502	3583	24910
503	3588	24889
504	3594	24874
505	3600	24859
506	3605	24838
507	3610	24821
508	3616	24804
509	3622	24788
510	3629	24782
511	3636	24771
512	3644	24771
513	3652	24768
514	3660	24768
515	3666	24758
516	3674	24758
517	3681	24745
518	3689	24742
519	3695	24730
520	3701	24719
521	3710	24719
522	3717	24717
523	3724	24704
524	3730	24692
525	3737	24685
526	3743	24672
527	3750	24663
528	3757	24657
529	3765	24651
530	3780	24697
531	3790	24707
532	3799	24711
533	3807	24714
534	3813	24699
535	3819	24681
536	3826	24676
537	3832	24663
